customer_id,full_name,gender,email,birthdate,country
b20ecd04-04bf-40a2-8d9e-3dec4d804ae4,Amanda Li,Female,amanda.li@example.com,1997-03-20,Romania
aa8b1806-d128-4198-b1c3-c2768a29f1c3,Michael Brewer,Male,michael.brewer@example.com,1972-01-24,Netherlands Antilles
343627e4-1bf9-403d-8040-2fbaafba2f2d,Michael King,Male,michael.king@example.com,1995-04-04,Morocco
f9bce71d-f337-48a9-bd19-936b5284ca69,Ryan Smith,Male,ryan.smith@example.com,2006-09-29,Bermuda
c66b097a-a675-42d6-b021-0d6c41dae867,Thomas Sanders,Male,thomas.sanders@example.com,1994-03-03,United Arab Emirates
549f8fc9-e274-43bf-9b08-6f45aa035eb7,Susan Liu,Female,susan.liu@example.com,1965-07-25,Switzerland
49aec310-3b6e-4ae8-8873-27ea8a9726dc,Michael Mason,Other,michael.mason@example.com,1990-07-25,Palestinian Territory
7a500d0b-cd36-4dcb-b860-24d8a59babaa,Laurie Gross,Female,laurie.gross@example.com,2005-06-26,Turkey
920f5ec9-cc24-447e-a8b3-8e87724cd90f,Sheila Rodriguez,Female,sheila.rodriguez@example.com,1993-03-31,Singapore
44e35587-5ad7-498f-a9aa-c53eef88d7c0,Robin Adams,Female,robin.adams@example.com,1968-07-15,Venezuela
691dfdc5-02ed-4a24-9056-98ffa3f926bd,Michael Smith,Male,michael.smith@example.com,1965-09-27,Suriname
ff3c27ac-2d7c-41ae-b0d7-6c46cba4628f,Anne Ayala,Female,anne.ayala@example.com,1982-09-18,Mali
59d3d930-d303-4b55-b96c-742d98176d45,Donna Jordan,Female,donna.jordan@example.com,1966-04-14,Holy See (Vatican City State)
2367d070-e2ce-4f66-af9b-bf4f7c606d1c,Brandy Tucker,Female,brandy.tucker@example.com,1988-06-25,Yemen
6df61b9e-0529-49d7-9097-cb4a6ba0ad6d,Latasha Lewis,Female,latasha.lewis@example.com,1967-12-15,Bahamas
15939016-ddc4-4382-93ef-8b962a29eeae,Rhonda Lee,Female,rhonda.lee@example.com,1982-02-05,Kazakhstan
2b7c354a-3147-4073-9d50-5080a273e10e,Lori Oneill,Female,lori.oneill@example.com,1965-08-02,Belgium
a74a6702-6bac-4941-a2b4-7d990fb95d3c,Jamie Hill,Female,jamie.hill@example.com,1977-07-25,Antarctica (the territory South of 60 deg S)
594aa8d5-f09b-49f3-b637-bff63120d95c,Karen Chambers,Female,karen.chambers@example.com,1961-02-20,Algeria
0ade854d-493b-4dc3-95b3-45492dc2bb29,Nicole Smith,Female,nicole.smith@example.com,1993-11-30,Somalia
9ca1f070-13bc-45aa-93d1-036f70410101,Anne Boyd MD,Female,anne.md@example.com,1995-04-25,Maldives
2543d07c-9bb9-4411-ab21-f30d6a01035c,Philip Frederick MD,Male,philip.md@example.com,1977-03-19,Netherlands Antilles
f4ff5cdd-9622-466f-889e-46412665e43c,Jacqueline Wu,Female,jacqueline.wu@example.com,1975-09-24,Svalbard & Jan Mayen Islands
727f1c8e-1f01-4a66-980d-1f3266f538a6,Isaiah Ross,Male,isaiah.ross@example.com,1995-11-05,Azerbaijan
26e2dc22-4f56-4cff-be15-00ce7dd806a3,Shelley Drake MD,Female,shelley.md@example.com,2001-10-19,Iran
bce3fe96-bd83-4641-9ddc-5e12e515744a,Stacy Taylor,Female,stacy.taylor@example.com,1995-03-29,British Virgin Islands
57e67eff-97ee-4201-84c1-1f5b0471b54d,Diana Lyons,Female,diana.lyons@example.com,1971-03-12,Heard Island and McDonald Islands
ee8fe42c-71fd-4a00-91f2-f122f6fbfd05,Michael Kane,Male,michael.kane@example.com,1989-04-27,Isle of Man
0b0ccc20-193b-4fbb-b34f-f83dcd2f477d,April Little,Female,april.little@example.com,1976-03-15,Andorra
729bfb26-3195-4a7a-a8eb-5ff78aab93df,Shelley Montes,Female,shelley.montes@example.com,2004-05-08,Greece
